"GID","BLUEs","BLUE_lmm","BLUPs"
"G1",47.0797619047619,47.0797619047619,47.3956494137413
"G10",48.5064285714285,46.6597619047618,48.3711458910492
"G2",46.6597619047618,47.6038095238095,47.1084705442534
"G3",47.6038095238095,48.0319047619047,47.7539718013506
"G4",48.0319047619047,49.2808787966756,48.046685864468
"G5",49.2808787966756,48.6738648924736,48.9160372424377
"G6",48.6738648924736,47.9078419285698,48.4742290469815
"G7",47.9078419285698,49.1276806773092,47.9685943545189
"G8",49.1276806773092,47.9035714285714,48.7927269535053
"G9",47.9035714285714,48.5064285714285,47.9589367654578
