"FFN","DFF","PH","IL","NIN","FL","FD","TW","FYPP"
"FFN",1,0.325661531182091,-0.0257682178363098,-0.00697078390468083,0.156144328061175,-0.153270972267131,0.00637303555883335,0.124055339278795,0.0126504875866394
"DFF",0.325661531182091,1,-0.332242791794112,-0.373674323920919,-0.168268577513419,-0.203377288938435,0.0303236191999607,0.22360368471838,-0.180821698802019
"PH",-0.0257682178363098,-0.332242791794112,1,0.438839753729453,0.663753627578304,0.113220525424583,0.0754619637345084,-0.0699684911151373,0.368345175930937
"IL",-0.00697078390468083,-0.373674323920919,0.438839753729453,1,0.446861016729409,0.0867392762972667,0.0956391850581463,-0.0865003195926936,0.109259403518393
"NIN",0.156144328061175,-0.168268577513419,0.663753627578304,0.446861016729409,1,0.162638168638239,-0.0221835121961569,0.00676069565861021,0.275980667102849
"FL",-0.153270972267131,-0.203377288938435,0.113220525424583,0.0867392762972667,0.162638168638239,1,-0.309081956519797,-0.0528227244033477,0.254349583320203
"FD",0.00637303555883335,0.0303236191999607,0.0754619637345084,0.0956391850581463,-0.0221835121961569,-0.309081956519797,1,0.0239970831721171,0.271845582453166
"TW",0.124055339278795,0.22360368471838,-0.0699684911151373,-0.0865003195926936,0.00676069565861021,-0.0528227244033477,0.0239970831721171,1,0.0989640959969463
"FYPP",0.0126504875866394,-0.180821698802019,0.368345175930937,0.109259403518393,0.275980667102849,0.254349583320203,0.271845582453166,0.0989640959969463,1
